,street,latitude,longitude,plz
2360,Schönaustrasse 86,47.5687364,7.6047293,4058
2361,An der hohlen Gasse 4,47.5726033,7.6103413,4058
2362,Arabienstrasse 2,47.5321261,7.588100099999999,4059
2363,Weiherhofstrasse 180,47.54647929999999,7.557548400000001,4054
2364,Schönaustrasse 84,47.5687,7.6045673,4058
2365,Im langen Loh 169,47.5504565,7.5610292,4054
2366,"Metzerstrasse 8, 10",47.5642819,7.5782906,4056
2367,Marignanostrasse 29,47.5349256,7.586155699999999,4059
2368,Dornacherstrasse 146,47.54238729999999,7.591111299999999,4053
2369,Nasenweg 2,47.55338159999999,7.6177192,4052
2370,Spalentorweg 46,47.555701,7.579025499999999,4051
2371,Neubadstrasse 140,47.54719069999999,7.5653077,4054
2372,Weiherhofstrasse 79,47.5492392,7.5587502,4054
2373,Maiengasse 63,47.5606497,7.577258,4056
2374,Paracelsusstrasse,47.5653158,7.612778499999999,4058
2375,Paracelsusstrasse 32,47.5650076,7.6136522,4058
2376,Paracelsusstrasse 20,47.564701,7.614235799999999,4058
2377,Paracelsusstrasse 38,47.565161,7.613373599999999,4058
2378,Paracelsusstrasse 30,47.56496250000001,7.6137583,4058
2379,Paracelsusstrasse 36,47.5651159,7.613466499999999,4058
2380,Paracelsusstrasse 40,47.5652151,7.613267500000001,4058
2381,Paracelsusstrasse 42,47.5652692,7.6131746,4058
2382,Paracelsusstrasse 46,47.5653684,7.6129757,4058
2383,Paracelsusstrasse 48,47.5654225,7.6128828,4058
2384,Paracelsusstrasse 52,47.5655397,7.6126839,4058
2385,Gotthelfstrasse 35,47.5529879,7.568749,4054
2386,Steinbühlallee 15,47.5516944,7.5587822,4054
2387,Schäublin-Strasse 101,47.5329053,7.5835472,4059
2388,Im Holeeletten 26,47.5466499,7.566355799999999,4054
2389,"Solothurnerstrasse 20, 22",47.5447813,7.5906575,4053
2390,Im langen Loh 210,47.5482757,7.5599037,4054
2391,Gundeldingerstrasse 67,47.5438053,7.582310499999998,4053
2392,Ackerstrasse 39,47.5781529,7.590528399999999,4057
2393,Austrasse 52,47.5539297,7.5814647,4051
2394,Birsigstrasse 134,47.5508829,7.5769404,4054
2395,Auf der Alp 7,47.5261922,7.591728599999999,4059
2396,Birsigstrasse 98,47.55014329999999,7.5794283,4054
2397,Eulerstrasse 70,47.5571681,7.5781392,4051
2398,Bruderholzstrasse 70,47.5422103,7.593281899999999,4053
2399,Landskronstrasse 42,47.5683988,7.576517099999998,4056
2400,Pfeffelstrasse 36,47.5588584,7.570822700000001,4055
2401,Paracelsusstrasse 56,47.5656299,7.612511400000001,4058
2402,Paracelsusstrasse 54,47.5655848,7.612590999999999,4058
2403,Im langen Loh 220,47.5480329,7.5598367,4054
2404,Realpstrasse 9,47.5492644,7.568739899999999,4054
2405,Gotthardstrasse 45,47.5484344,7.562853099999999,4054
2406,Brunnmattstrasse 17,47.5399968,7.590430500000001,4053
2407,Hammerstrasse 130,47.5665984,7.595491999999998,4057
2408,Im Sesselacker 46,47.5362298,7.599679300000001,4059
2409,Davidsbodenstrasse 33,47.56578589999999,7.576593600000001,4056
2410,Birsigstrasse 26,47.5507482,7.5841536,4054
2411,Im Heimatland 58,47.5649592,7.6159509,4058
2412,Mattenstrasse 12,47.5644815,7.6037704,4058
2413,Elsässerstrasse 63,47.56967119999999,7.578719599999999,4056
2414,Kirschblütenweg 9,47.5365229,7.589015499999999,4059
2415,Arnold Böcklin-Strasse 11,47.5510821,7.5787454,4051
2416,St. Johanns-Vorstadt 3,47.562376,7.585048899999999,4056
